clue_numbers,solving_time_ms,backtrack_count,propagation_count
793614528285937146461852379349261857578493612126785934837149265652378491914526783,80,0.013,0,0
513872469827496513469531827178249635635187294294653178742965381381724956956318742,80,0.011,0,0
145267938893145672267893451651972384438651729972438516716329845584716293329584167,80,0.012,0,0
482951673951376284376482159514769328769823415823514967237148596148695732695237841,80,0.010,0,0
736291854485376219921845367259684173317529648864137592678913425542768931193452786,80,0.011,0,0
973158264246379815851642937718265493562934781439817526125496378694783152387521649,80,0.008,0,0
749532186532168794168749523273856941914273865856914237397625418481397652625481379,80,0.009,0,0
981752634725463189436918527148529376592637841673184295357846912219375468864291753,80,0.008,0,0
216597438843216975597843162175938624938462751462175389651789243789324516324651897,80,0.009,0,0
916785432243691578857324169168257394439816725572943681685472913391568247724139856,80,0.009,0,0
437651892561298743928347156274135968315869427689724531753916284196482375842573619,80,0.020,0,0
427156839839742561561983427674531298298467315315829674953278146146395782782614953,80,0.011,0,0
837295164259416738461873952372549816618327495594681273946138527725964381183752649,80,0.007,0,0
183564927279318564645927318964732851518496732327851496451679283832145679796283145,80,0.008,0,0
874153962692487351531269784483915627267348519159726843728534196916872435345691278,80,0.007,0,0
683927451792451836145836927926574318457318269831269574268795143314682795579143682,80,0.007,0,0
294813756765942318381657249579284163136795482428361597843176925952438671617529834,80,0.016,0,0
481635972563792184279814365127483659348569721956271843795128436634957218812346597,80,0.014,0,0
319475826286319745475286139764892513892153674153764982627938451541627398938541267,80,0.009,0,0
143786925768952143925134768572349816394861572816527394287495631459613287631278459,80,0.011,0,0
428396517571284693639715482852439176943671825167528934215843769796152348384967251,80,0.007,0,0
129473865685921734374586219251397486793648521846152973917834652438265197562719348,80,0.010,0,0
281964375496357821735812946543781269178296453629435718857129634912643587364578192,80,0.009,0,0
813972546972645318645813279281597463597364182364281795728459631136728954459136827,80,0.007,0,0
974326185851974632326851497748269351269513874513748926697132548485697213132485769,80,0.008,0,0
578614392461392785239785614685143927314927856792856143943278561827561439156439278,80,0.010,0,0
749136825285794613163258479832475961457619382691823547524967138318542796976381254,80,0.010,0,0
675981324198234576423756891934562187256817439781349652517498263849623715362175948,80,0.012,0,0
723658941856914372419327685538461729297835416164792853942573168375186294681249537,80,0.009,0,0
453867192192453867867192453978521634634978521521634978289315746315746289746289315,80,0.008,0,0
856429731317586924249137685721365498984271563635894172192753846468912357573648219,80,0.032,0,0
387269415415837629629145387961458732732691548548372961276914853194583276853726194,80,0.007,0,0
134762958762958134958134762529381647381647529647529381893416275416275893275893416,80,0.007,0,0
658397214241856739793142685482635971917284563536719428375921846129468357864573192,80,0.007,0,0
618795342975432618342168975486519723159273486723846159537624891264981537891357264,80,0.009,0,0
429613875613578924578429316185794632794236581236185497351847269962351748847962153,80,0.009,0,0
823945671945716382716823594582694137371582469694371258237458916458169723169237845,80,0.008,0,0
674512839389647251521398764158973642937426518462185397245831976813769425796254183,80,0.009,0,0
615379284739428651248165793971283546564791832823654917387542169196837425452916378,80,0.008,0,0
213897465465231879879456213921578346587364921346912587134729658658143792792685134,80,0.007,0,0
745923168932618574681754293319865742856472931427391685294136857163587429578249316,80,0.007,0,0
965187432187243659243965871459671328832459716671832594728394165516728943394516287,80,0.007,0,0
912347856685291734473568129548126973261739485397854612156972348729483561834615297,80,0.009,0,0
346872519872159436159346782217935864684217395935684127563428971791563248428791653,80,0.007,0,0
951726348348519672672483951297648135864351297135972864719264583426835719583197426,80,0.007,0,0
935612478621784395748953261574139682862547913193826754486375129357291846219468537,80,0.009,0,0
